赛场大反攻;2012
大侦探福尔摩斯2：诡影游戏;2012
敏感事件;2012
花开白草畔;2012
黑暗终结者;2012
变形金刚;2012
胡桃夹子：魔镜冒险;2012
苏乞儿;2012
歼十出击;2012
逆战;2012
同享一片蓝天;2012
我心不死;2012
宝莲灯;2012
举起手来;2012
饭局也疯狂;2012
战鸽总动员;2012
大哥;2012
碟中谍4;2012
武壮元与苏乞儿;2012
紫宅;2012
尉迟恭;2012
80_后;2012
黑猫警长;2012
自古英雄出少年之岳飞;2012
南京!南京!;2012
学花站长;2012
大侦探福尔摩斯;2012
我们这一家;2012
图色旋风;2012
亲家过年;2012
惊蛰疑云;2012
站起来;2012
新天生一对;2012
大决战(第二部);2012
散打;2012
虎女龙驹;2012
黄石的孩子;2012
兔侠传奇;2012
我坚强的小船;2012
丰年;2012
荒村客栈;2012
寄居大侠;2012
红孩-大话火焰山;2012
即日启程;2012
样板间;2012
我的唐朝兄弟;2012
门;2012
八星报喜;2012
海瑞驯虎;2012
黎明行动;2012
高海拔之恋Ⅱ;2012
一夜迷情;2012
满园春色;2012
终极匹配;2012
我愿意;2012
扑克王;2012
大决战(第三部:平津;2012
回家;2012
惊魂游戏;2012
戏王之王;2012
蓝色的七星湖;2012
梅葛;2012
绑架冰激凌;2012
回家过年;2012
爱;2012
大有前途;2012
宝贝双龙;2012
速度与激情5;2012
纳尼亚传奇：黎明踏浪号;2012
风云决;2012
快乐奔跑;2012
球道;2012
夺标;2012
太阳花儿开;2012
2046;2012
梅兰芳;2012
藏獒多吉;2012
第九区;2012
超时空救兵;2012
双重追击;2012
不是闹着玩的;2012
情暖葡萄沟;2012
红鹰侠;2012
暮光之城;2012
猎物;2012
豪门生死恋;2012
喜临门;2012
情谜;2012
寻找成龙;2012
爱心;2012
飘移族——头文字D;2012
大兵小将;2012
虎王归来;2012
花木兰;2012
千里走单骑;2012
十分爱;2012
气喘吁吁;2012
新婚告急;2012
彩票也疯狂;2012
北京等待;2012
机器侠;2012
笑里逃生;2012
上学路上;2012
完美新娘;2012
同心;2012
麦田;2012
海上传奇;2012
